state,Up,Down,Left,Right
"(0, 0)",-1.7579,-3.0964,-1.8229,-0.4341
"(0, 1)",-1.039,-8.67,-1.5979,0.6288
"(0, 2)",0.1806,0.6717,-0.6293,1.8098
"(0, 3)",1.4484,3.122,0.213,2.0964
"(0, 4)",-0.953,4.3465,-0.6937,-0.4932
"(1, 0)",-2.7909,-1.9522,-2.7078,-4.1913
"(1, 1)",-0.7956,-0.7083,-0.9503,1.2019
"(1, 2)",-0.6762,-3.9666,-5.3669,3.0948
"(1, 3)",1.3278,4.58,1.2015,3.9973
"(1, 4)",0.4184,6.199,0.9389,0.3835
"(2, 0)",-2.3319,-0.3868,-2.0691,-1.8881
"(2, 1)",-3.5294,-0.2497,-1.3708,-3.4671
"(2, 2)",-0.5676,4.1387,-0.3775,1.0758
"(2, 3)",2.3233,-3.2258,-6.5255,6.2
"(2, 4)",4.3344,8.0,4.1978,5.321
"(3, 0)",-1.4292,-1.3611,-1.3046,1.7053
"(3, 1)",-1.1855,-0.4182,-0.9647,4.1056
"(3, 2)",-4.8591,6.1651,0.0132,-2.3484
"(3, 3)",0.7892,2.6772,1.1141,7.9384
"(3, 4)",5.7725,10.0,-3.1572,7.3156
"(4, 0)",-0.9273,-0.854,-0.8633,-0.5069
"(4, 1)",-0.4788,-0.4901,-0.5248,2.7575
"(4, 2)",1.7477,2.0943,-0.216,7.9941
"(4, 3)",-2.4225,3.1111,3.7528,9.999
"(4, 4)",0.0,0.0,0.0,0.0
